,type,characters per comment,words per comment,url per comment
0,ESTJ,142.75022135454242,26.60631316710803,2.3421052631578947
1,ESTP,137.0126017065014,25.509761190867177,2.784090909090909
2,ESFJ,151.2457249266294,28.124082450141334,1.119047619047619
3,ESFP,130.3558105363763,24.10027087464557,2.4468085106382977
4,ENTJ,146.98925040187817,26.793406016249282,2.3612334801762116
5,ENTP,143.86610636288398,26.369477111824338,2.1508295625942684
6,ENFJ,152.0257263549709,28.136204119666242,2.4497354497354498
7,ENFP,149.78435431923592,27.800025792334175,2.2428355957767723
8,ISTJ,147.89723416689944,27.265202025098272,2.83248730964467
9,ISTP,140.87177569774454,25.992031424032906,3.4114114114114114
10,ISFJ,147.19462288519912,27.27969901659875,3.079754601226994
11,ISFP,141.31297906744382,26.12078598901982,3.789473684210526
12,INTJ,146.9524716666137,26.73950022680425,2.7648148148148146
13,INTP,147.01256232341905,26.774209025967792,3.154863813229572
14,INFJ,153.0731584134212,28.183817939551894,2.958017894012388
15,INFP,149.42472049507853,27.605159681588148,3.2860322760155816
